n,INTEGRAL ANSWER,STATISTICAL ERROR,REAL ERROR (checked with wolfram alpha),EXECUTION TIME (s)
100,0.8753651218579797,0.03418635393954077,-0.006716278142020297,1.9981861114501954e-05
200,0.883775443338972,0.0242618979346804,0.0016940433389715105,3.0159950256347656e-05
500,0.8814781518415381,0.015388633567395922,-0.0006032481584621508,9.973049163818359e-06
800,0.87901511837801,0.012160304370606067,-0.0030662816219899636,3.999948501586914e-05
1000,0.8827910389776509,0.010900755841510023,0.0007096389776505052,2.9997825622558592e-05
10000,0.8817313351002732,0.0034451573875344406,-0.00035006489972696955,0.00012061595916748046
100000,0.8820876047761017,0.0010899704264251133,6.204776101798037e-06,0.0010694074630737305
1000000,0.8820257199165746,0.0003446584539247797,-5.5680083425156955e-05,0.020180318355560303
10000000,0.8821149547918806,0.00010899388238614888,3.355479188102972e-05,0.20760138273239137
