xs_euler_cromer,vs_euler_cromer,xs_leapfrog,vs_leapfrog,xs_verlet,vs_verlet,xs_velocity_verlet,vs_velocity_verlet,xs_beeman,vs_beeman,xs_euler,vs_euler
-0.9986857182776282,-0.051754444571829414,-0.9986598410553478,-0.05175443163321105,-0.9986857182780144,-0.051255101712943674,-0.9986598410553478,-0.05175443163321105,-0.9986598410553473,-0.05175444034217556,-1.0033508593545752,-0.05200108104374599
-0.9987364740364818,-0.05075575885355178,-0.9987110961570604,-0.05075574616460485,-0.9987364740368683,-0.05025639061678744,-0.9987110961570604,-0.05075574616460485,-0.9987110961570601,-0.050755754707126045,-1.0034028604356189,-0.05099773018439142
-0.9987862310588613,-0.0497570223795153,-0.998761352547677,-0.04975700994025248,-0.998786231059248,-0.04925762926422106,-0.998761352547677,-0.04975700994025248,-0.9987613525476766,-0.04975701831632183,-1.0034538581658032,-0.0499943273239558
-0.9988349892950098,-0.04875823614845644,-0.998810610176941,-0.04875822395889017,-0.9988349892953967,-0.04825881865405668,-0.998810610176941,-0.04875822395889017,-0.9988106101769406,-0.048758232168499296,-1.0035038524931272,-0.048990873465789994
-0.998882748696169,-0.04775940115916143,-0.9988588689955947,-0.04775938921930391,-0.9988827486965561,-0.04725995978505093,-0.9988588689955947,-0.04775938921930391,-0.9988588689955945,-0.047759397262444596,-1.003552843366593,-0.04798736961329687
-0.9989295092145795,-0.04676051841046526,-0.9989061289553796,-0.04676050672032842,-0.9989295092149668,-0.04626105365607147,-0.9989061289553796,-0.04676050672032842,-0.9989061289553793,-0.04676051459699263,-1.0036008307362063,-0.04698381676993028
-0.9989752708034807,-0.04576158890125068,-0.9989523900090355,-0.04576157746084621,-0.9989752708038683,-0.045262101266041466,-0.9989523900090355,-0.04576157746084621,-0.9989523900090351,-0.04576158517102607,-1.0036478145529764,-0.04598021593919407
-0.9990200334171111,-0.044762613630447194,-0.9989976521103013,-0.044762602439786546,-0.9990200334174989,-0.04426310361393959,-0.9989976521103013,-0.044762602439786546,-0.998997652110301,-0.04476260998347434,-1.0036937947689155,-0.04497656812464109
-0.9990637970107081,-0.04376359359703008,-0.999041915213915,-0.043763582656124435,-0.9990637970110962,-0.04326406169874453,-0.999041915213915,-0.043763582656124435,-0.9990419152139147,-0.04376359003331262,-1.0037387713370403,-0.04397287432987217
-0.9991065615405081,-0.04276452980001937,-0.9990851792756136,-0.04276451910887967,-0.9991065615408964,-0.04226497651943495,-0.9990851792756136,-0.04276451910887967,-0.9990851792756132,-0.042764526319560875,-1.00378274421137,-0.04296913555853513
-0.9991483269637467,-0.041765423238478865,-0.9991274442521328,-0.0417654127971158,-0.999148326964135,-0.04126584907515607,-0.9991274442521328,-0.0417654127971158,-0.9991274442521325,-0.041765419841282805,-1.0038257133469286,-0.041965352814323766
-0.9991890932386582,-0.04076627491151512,-0.9991687101012078,-0.040766264719939126,-0.9991890932390467,-0.0402666803650531,-0.9991687101012078,-0.040766264719939126,-0.9991687101012074,-0.04076627159758489,-1.003867678699743,-0.040961527100976836
-0.9992288603244766,-0.03976708581827646,-0.9992089767815727,-0.039767075876497734,-0.9992288603248651,-0.03926747138827125,-0.9992089767815727,-0.039767075876497734,-0.9992089767815723,-0.03976708258761538,-1.0039086402268438,-0.039957659422277095
-0.9992676281814346,-0.038767856957951985,-0.9992482442529609,-0.03876784726598047,-0.9992676281818232,-0.03826822314401124,-0.9992482442529609,-0.03876784726598047,-0.9992482442529603,-0.03876785381056329,-1.0039485978862661,-0.03895375078205025
-0.9993053967707644,-0.03776858932977055,-0.9992865124761048,-0.037768579887615936,-0.9993053967711532,-0.037268936631529304,-0.9992865124761048,-0.037768579887615936,-0.9992865124761041,-0.037768586265657385,-1.0039875516370482,-0.03794980218416399
-0.9993421660546974,-0.03676928393299979,-0.9993237814127361,-0.036769274740671515,-0.9993421660550863,-0.03626961285013719,-0.9993237814127361,-0.036769274740671515,-0.9993237814127356,-0.036769280952165216,-1.0040255014392323,-0.03694581463252694
-0.9993779359964643,-0.03576994176694509,-0.9993600510255861,-0.03576993282445235,-0.9993779359968534,-0.03527025279914664,-0.9993600510255861,-0.03576993282445235,-0.9993600510255856,-0.035769938869392094,-1.0040624472538648,-0.03594178913108771
-0.9994127065602952,-0.03477056383094863,-0.9993953212783852,-0.034770555138300366,-0.9994127065606846,-0.0342708574778694,-0.9993953212783852,-0.034770555138300366,-0.9993953212783846,-0.0347705610166801,-1.004098389042996,-0.034937726683833846
-0.9994464777114196,-0.03377115112438833,-0.9994295921358628,-0.033771142681593244,-0.9994464777118092,-0.03327142788572823,-0.9994295921358628,-0.033771142681593244,-0.9994295921358622,-0.03377114839340709,-1.0041333267696797,-0.03393362829479085
-0.9994792494160663,-0.03277170464667691,-0.9994628635637482,-0.03277169645374344,-0.999479249416456,-0.03227196502220142,-0.9994628635637482,-0.03277169645374344,-0.9994628635637478,-0.032771701998985686,-1.0041672603979745,-0.032929494968021174
-0.9995110216414635,-0.03177222539726084,-0.9994951355287702,-0.031772217454197185,-0.9995110216418536,-0.03127246988671173,-0.9994951355287702,-0.031772217454197185,-0.9994951355287698,-0.03177222283286228,-1.0042001898929425,-0.0319253277076232
-0.9995417943558391,-0.03077271437561938,-0.9995264079986567,-0.03077270668243347,-0.9995417943562295,-0.030272943478737435,-0.9995264079986567,-0.03077270668243347,-0.9995264079986562,-0.030772711894516046,-1.0042321152206501,-0.030921127517730258
-0.9995715675284204,-0.02977317258126354,-0.999556680942135,-0.029773165137963076,-0.999571567528811,-0.02927338679781233,-0.999556680942135,-0.029773165137963076,-0.9995566809421347,-0.029773170183457917,-1.004263036348168,-0.029916895402509608
-0.9996003411294341,-0.02877360101373512,-0.9995859543289325,-0.028773593820327542,-0.9996003411298251,-0.028273800843470198,-0.9995859543289325,-0.028773593820327542,-0.9995859543289322,-0.028773598699229602,-1.0042929532435705,-0.02891263236616144
-0.9996281151301066,-0.027774000672605687,-0.9996142281297757,-0.02777399372909819,-0.999628115130498,-0.027274186615300344,-0.9996142281297757,-0.02777399372909819,-0.9996142281297753,-0.02777399844140259,-1.0043218658759367,-0.027908339412917867
-0.9996548895026641,-0.02677437255747558,-0.9996415023163908,-0.026774365863875105,-0.9996548895030557,-0.026274545112947578,-0.9996415023163908,-0.026774365863875105,-0.9996415023163904,-0.026774370409577135,-1.0043497742153498,-0.02690401754704193
